id,name,native name,Native speakers (millions),  of world population
1,Mandarin,官话,955,14.4
2,Spanish,Español,407,6.15
3,English,English,359,5.43
4,Hindi,हिन्दी,311,4.70
5,Arabic,العربية,293,4.43
6,Portuguese,Português,216,3.27
7,Bengali,বাংলা,206,3.11
8,Russian,Русский,154,2.33
9,Japanese,日本語,126,1.90
10,Punjabi,ਪੰਜਾਬੀ,102,1.44
11,German,Deutsch,89,1.39
12,Javanese,,82,1.25
13,Wu,吳語,80,1.20
14,Malay/Indonesian,吴语,77,1.16
15,Telugu,తెలుగు,76,1.15
16,Vietnamese,Tiếng Việt,76,1.14
17,Korean,한국어/조선말,76,1.14
18,French,Francais,74,1.12
19,Marathi,मराठी,73,1.10
20,Tamil,தமிழ்,70,1.06
21,Urdu,اُردُو,66,0.99
22,Persian,فارسی,65,0.99
23,Turkish,Türkçe,63,0.95
24,Italian,Italiano,59,0.90
25,Cantonese,粤语 粵語,59,0.89
26,Thai,ภาษาไทย,56,0.85
27,Gujarati,ગુજરાતી,49,0.74
28,Jin,晋语,48,0.72
29,Min Nan,闽南语,47,0.71
30,Polish,Język Polski,40,0.61
31,Pashto,پښتو,39,0.58
32,Kannada,ಕನ್ನಡ,38,0.58
33,Xiang,湘语,38,0.58
34,Malayalam,മലയാളം,38,0.57
35,Sundanese,,38,0.57
36,Hausa,هَرْشَن هَوْسَ,34,0.52
37,Oriya,,33,0.50
38,Burmese,,33,0.50
39,Hakka,,31,0.46
40,Ukrainian,українська мова,30,0.46
41,Bhojpuri,भोजपुरी,29,0.43
42,Tagalog,,28,0.42
43,"Yorubaèdè Yorùbá",,28,0.42
44,Maithili,"मैथिली, মৈথিলী",27,0.41
45,Swahili,Kiswahili,26,0.39
46,"Uzbek",اوزبیک,26,0.39
47,Sindhi,سنڌي सिन्धी ਸਿੰਧੀ,26,0.39
48,Amharic,አማርኛ,25,0.37
49,Fula,Fulfulde,24,0.37
50,Romanian,Daco-Romanian,24,0.37
51,Oromo,Afaan Oromo,24,0.36
52,Igbo,Asụsụ Igbo,24,0.36
53,Azerbaijani,,23,0.34
54,Awadhi,अवधी,22,0.33
55,Gan,,22,0.33
56,Cebuano,,21,0.32
57,Dutch,Nederlands,21,0.32
58,Kurdish,كوردی,21,0.31
59,Serbo-Croatian,,19,0.28
60,Malagasy,,18,0.28
61,Saraiki,سرائیکی,17,0.26
62,Nepali,नेपाली,17,0.25
63,Sinhalese,සිංහල,16,0.25
64,Chittagonian,টগাঁইয়া বুলি,16,0.24
65,Zhuang,话壮,16,0.24
66,Khmer,ភាសាខ្មែរ,16,0.24
67,Assamese,অসমীয়া,15,0.23
68,Madurese,Madhura,15,0.23
69,Somali,Af-Soomaali,15,0.22
70,Marwari,मारवाड़ी,14,0.21
71,Magahi,मगही,14,0.21
72,Haryanvi,हरियाणवी,14,0.21
73,Hungarian,Magyar,13,0.19
74,Chhattisgarhi,छत्तीसगढ़ी,12,0.19
75,Greek,ελληνικά,12,0.18
76,Chewa,,12,0.17
77,Deccan,,11,0.17
78,Akan,,11,0.17
79,Kazakh,,11,0.17
80,Min Bei,,10.9,0.16
81,Sylheti,,10.7,0.16
82,Zulu,,10.4,0.16
83,Czech,,10.0,0.15
84,Kinyarwanda,,9.8,0.15
85,Dhundhari,,9.6,0.15
86,Haitian Creole,,9.6,0.15
87,Min Dong,,9.5,0.14
88,Ilokano,,9.1,0.14
89,Quechua,,8.9,0.13
90,Kirundi,,8.8,0.13
91,Swedish,,8.7,0.13
92,Hmong,,8.4,0.13
93,Shona,,8.3,0.13
94,Uyghur,ئۇيغۇرچە,8.2,0.12
95,Hiligaynon,,8.2,0.12
96,Mossi,,7.6,0.11
97,Xhosa,,7.6,0.11
98,Belarusian,,7.6,0.11
99,Balochi,,7.6,0.11
100,Konkani,,7.4,0.11
